transaction_id,customer_id,amount,status,transaction_time,updated_at,order_date
T00089,,408376.38,FAILED,2024-08-10 00:00:00,2024-08-10 00:05:00,2024-08-10
T00075,C0017,1278606.84,PENDING,2024-07-16 17:00:00,2024-07-16 19:16:00,2024-07-16
T00015,C0004,3737598.92,FAILED,2024-08-14 12:00:00,2024-08-14 12:12:00,2024-08-14
T00088,,316191.82,FAILED,2024-07-12 00:00:00,2024-07-12 00:05:00,2024-07-12
T00009,C0002,1231606.52,FAILED,2024-07-19 08:00:00,2024-07-19 08:30:00,2024-07-19
T00092,C0020,-50.5,FAILED,2024-07-22 00:00:00,2024-07-22 00:05:00,2024-07-22
T00035,C0008,3159203.76,SUCCESS,2024-06-09 01:00:00,2024-06-09 01:28:00,2024-06-09
T00021,C0005,566645.35,FAILED,2024-06-21 14:00:00,2024-06-21 14:01:00,2024-06-21
T00022,C0005,4769541.48,PENDING,2024-07-04 16:00:00,2024-07-04 16:25:00,2024-07-04
T00045,C0011,4181777.65,SUCCESS,2024-07-01 05:00:00,2024-07-01 05:14:00,2024-07-01
T00046,C0011,2433349.22,SUCCESS,2024-07-22 01:00:00,2024-07-22 01:06:00,2024-07-22
T00015,C0004,3565017.98,FAILED,2024-08-14 12:00:00,2024-08-14 13:50:00,2024-08-14
T00005,C0001,1454045.94,SUCCESS,2024-06-30 03:00:00,2024-06-30 03:13:00,2024-06-30
T00063,C0014,4919428.02,PENDING,2024-08-07 00:00:00,2024-08-07 00:22:00,2024-08-07
T00098,C9981,313437.79,SUCCESS,2024-07-01 00:00:00,2024-07-01 00:05:00,2024-07-01
T00066,C0015,1415963.79,SUCCESS,2024-07-14 06:00:00,2024-07-14 06:22:00,2024-07-14
T00053,C0013,349124.71,SUCCESS,2024-07-22 03:00:00,2024-07-22 03:29:00,2024-07-22
T00075,C0017,1276569.89,PENDING,2024-07-16 17:00:00,2024-07-16 19:52:00,2024-07-16
T00034,C0008,1158272.52,SUCCESS,2024-06-01 02:00:00,2024-06-01 02:23:00,2024-06-01
T00051,C0012,260210.26,FAILED,2024-08-04 16:00:00,2024-08-04 16:06:00,2024-08-04
T00023,C0006,2480949.36,SUCCESS,2024-08-20 09:00:00,2024-08-20 11:12:00,2024-08-20
T00071,C0016,2762885.3,FAILED,2024-08-11 00:00:00,2024-08-11 00:04:00,2024-08-11
T00069,C0015,4148446.97,SUCCESS,2024-06-01 10:00:00,2024-06-01 10:25:00,2024-06-01
T00086,,626923.86,PENDING,2024-06-16 00:00:00,2024-06-16 00:05:00,2024-06-16
T00073,C0017,2916722.74,SUCCESS,2024-07-26 04:00:00,2024-07-26 04:02:00,2024-07-26
T00049,C0011,2438490.34,SUCCESS,2024-07-08 06:00:00,2024-07-08 06:02:00,2024-07-08
T00017,C0004,3781352.97,SUCCESS,2024-06-20 20:00:00,2024-06-20 20:06:00,2024-06-20
T00080,C0019,1918883.2,SUCCESS,2024-07-31 07:00:00,2024-07-31 07:07:00,2024-07-31
T00031,C0008,1013743.81,FAILED,2024-07-22 21:00:00,2024-07-22 21:21:00,2024-07-22
T00056,C0013,1588685.53,FAILED,2024-06-27 21:00:00,2024-06-27 21:23:00,2024-06-27
T00048,C0011,2120807.36,PENDING,2024-08-11 21:00:00,2024-08-11 21:23:00,2024-08-11
T00011,C0003,1152949.88,SUCCESS,2024-07-11 12:00:00,2024-07-11 12:09:00,2024-07-11
T00034,C0008,1144975.02,SUCCESS,2024-06-01 02:00:00,2024-06-01 04:59:00,2024-06-01
T00058,C0013,3231048.94,FAILED,2024-07-11 02:00:00,2024-07-11 02:01:00,2024-07-11
T00085,,436984.43,PENDING,2024-07-13 00:00:00,2024-07-13 00:05:00,2024-07-13
T00065,C0015,585989.07,SUCCESS,2024-08-10 04:00:00,2024-08-10 04:09:00,2024-08-10
T00057,C0013,1577777.48,FAILED,2024-07-21 04:00:00,2024-07-21 04:22:00,2024-07-21
T00041,C0010,501105.18,FAILED,2024-07-14 03:00:00,2024-07-14 03:08:00,2024-07-14
T00068,C0015,4527629.09,SUCCESS,2024-06-12 20:00:00,2024-06-12 20:14:00,2024-06-12
T00077,C0018,4881268.1,SUCCESS,2024-07-23 00:00:00,2024-07-23 00:06:00,2024-07-23
T00018,C0005,2986081.06,FAILED,2024-07-19 19:00:00,2024-07-19 19:15:00,2024-07-19
T00087,,722556.72,FAILED,2024-08-04 00:00:00,2024-08-04 00:05:00,2024-08-04
T00016,C0004,1104410.59,SUCCESS,2024-08-05 15:00:00,2024-08-05 15:03:00,2024-08-05
T00015,C0004,3679922.95,FAILED,2024-08-14 12:00:00,2024-08-14 15:02:00,2024-08-14
T00072,C0016,385466.86,PENDING,2024-06-20 17:00:00,2024-06-20 17:02:00,2024-06-20
T00007,C0002,1055440.08,FAILED,2024-08-29 21:00:00,2024-08-29 21:21:00,2024-08-29
T00060,C0014,1073640.02,FAILED,2024-06-17 11:00:00,2024-06-17 11:29:00,2024-06-17
T00067,C0015,3174847.41,FAILED,2024-08-04 15:00:00,2024-08-04 15:09:00,2024-08-04
T00023,C0006,2543331.56,SUCCESS,2024-08-20 09:00:00,2024-08-20 09:27:00,2024-08-20
T00096,C9986,114713.69,FAILED,2024-06-22 00:00:00,2024-06-22 00:05:00,2024-06-22
T00055,C0013,419097.19,PENDING,2024-08-14 18:00:00,2024-08-14 18:17:00,2024-08-14
T00014,C0004,706755.29,PENDING,2024-08-11 17:00:00,2024-08-11 17:09:00,2024-08-11
T00001,C0001,1329959.13,SUCCESS,2024-07-29 17:00:00,2024-07-29 17:04:00,2024-07-29
T00084,C0020,2551934.32,PENDING,2024-08-08 10:00:00,2024-08-08 10:01:00,2024-08-08
T00094,C0007,-1000,PENDING,2024-08-17 00:00:00,2024-08-17 00:05:00,2024-08-17
T00091,C0013,-50.5,PENDING,2024-06-23 00:00:00,2024-06-23 00:05:00,2024-06-23
T00052,C0012,293829.1,PENDING,2024-06-11 05:00:00,2024-06-11 05:03:00,2024-06-11
T00064,C0015,1503899.97,PENDING,2024-06-14 04:00:00,2024-06-14 04:09:00,2024-06-14
T00050,C0011,2900109.65,PENDING,2024-06-08 23:00:00,2024-06-08 23:11:00,2024-06-08
T00023,C0006,2416595.13,FAILED,2024-08-20 09:00:00,2024-08-20 12:26:00,2024-08-20
T00025,C0006,3814928.89,PENDING,2024-08-07 00:00:00,2024-08-07 00:20:00,2024-08-07
T00074,C0017,1548209.17,SUCCESS,2024-07-16 06:00:00,2024-07-16 06:22:00,2024-07-16
T00081,C0019,4084767.16,FAILED,2024-07-15 09:00:00,2024-07-15 09:27:00,2024-07-15
T00054,C0013,2852680.3,PENDING,2024-08-16 01:00:00,2024-08-16 01:20:00,2024-08-16
T00059,C0014,3109584.68,PENDING,2024-06-13 02:00:00,2024-06-13 02:18:00,2024-06-13
T00010,C0002,3203598.8,PENDING,2024-06-29 21:00:00,2024-06-29 21:11:00,2024-06-29
T00079,C0018,3677937.12,SUCCESS,2024-07-05 05:00:00,2024-07-05 05:26:00,2024-07-05
T00061,C0014,353268.66,SUCCESS,2024-07-18 09:00:00,2024-07-18 09:06:00,2024-07-18
T00032,C0008,1873368.31,PENDING,2024-07-28 03:00:00,2024-07-28 03:08:00,2024-07-28
T00006,C0001,1397088.28,PENDING,2024-07-17 05:00:00,2024-07-17 05:12:00,2024-07-17
T00004,C0001,3525813.46,SUCCESS,2024-08-24 07:00:00,2024-08-24 07:25:00,2024-08-24
T00019,C0005,2650280.58,PENDING,2024-06-02 21:00:00,2024-06-02 21:24:00,2024-06-02
T00026,C0007,2448142.48,SUCCESS,2024-07-17 09:00:00,2024-07-17 09:08:00,2024-07-17
T00029,C0007,3302156.61,PENDING,2024-06-22 08:00:00,2024-06-22 08:17:00,2024-06-22
T00040,C0010,4320545.37,SUCCESS,2024-08-26 20:00:00,2024-08-26 20:21:00,2024-08-26
T00034,C0008,1150905.2,FAILED,2024-06-01 02:00:00,2024-06-01 03:55:00,2024-06-01
